timestamp,open,high,low,close,volume_btc,volume_usd
2022-01-01 00:00:00,29970.24,30251.66,30096.88,30149.38,2512.0147,75735685.76
2022-01-01 01:00:00,30012.44,30153.72,30065.08,30107.73,1101.7599,33171489.59
2022-01-01 02:00:00,30250.0,30393.88,30161.47,30303.37,2145.5724,65018074.3
2022-01-01 03:00:00,30782.25,30785.42,30679.27,30768.43,246.7475,7592033.18
2022-01-01 04:00:00,30790.78,30880.22,30467.77,30696.47,1445.6535,44376459.29
2022-01-01 05:00:00,30688.45,30742.74,30524.51,30624.68,2819.5541,86347942.06
2022-01-01 06:00:00,31002.08,31267.84,30801.17,31112.15,894.8594,27840999.88
2022-01-01 07:00:00,31316.87,31474.36,31107.5,31351.83,244.9153,7678542.85
2022-01-01 08:00:00,31212.14,31337.24,31168.86,31204.99,1790.5405,55873798.4
2022-01-01 09:00:00,31350.07,31503.17,31034.82,31374.75,1129.7893,35446856.84
2022-01-01 10:00:00,31204.46,31373.65,31104.31,31229.69,1201.0821,37509421.65
2022-01-01 11:00:00,30923.93,31216.91,31014.94,31084.58,1789.1258,55614224.06
2022-01-01 12:00:00,31052.13,31364.89,31068.56,31159.89,1902.6083,59285065.34
2022-01-01 13:00:00,30532.43,30640.6,30409.45,30569.38,1368.2337,41826055.9
2022-01-01 14:00:00,29767.78,30170.24,29968.03,30046.6,1571.8928,47230034.2
2022-01-01 15:00:00,29935.55,29884.34,29867.45,29878.13,2980.4417,89050024.57
2022-01-01 16:00:00,29455.24,29735.82,29378.98,29577.04,2875.7291,85055554.62
2022-01-01 17:00:00,29731.27,29738.12,29445.1,29670.13,2151.2195,63826962.22
2022-01-01 18:00:00,29454.77,29507.02,29261.0,29401.94,568.2906,16708846.12
2022-01-01 19:00:00,28942.34,29249.73,28725.67,28989.62,1143.8842,33160768.28
2022-01-01 20:00:00,29505.93,29644.86,29092.08,29417.63,2660.9558,78279013.17
2022-01-01 21:00:00,29416.73,29439.95,29321.21,29351.29,1328.3412,38988527.78
2022-01-01 22:00:00,29343.89,29570.98,29349.24,29371.11,2870.5662,84311715.62
2022-01-01 23:00:00,28918.98,28965.0,28906.93,28955.62,1516.0752,43898897.38
2022-01-02 00:00:00,28893.22,28908.64,28663.86,28798.42,2599.1305,74850851.77
2022-01-02 01:00:00,28850.45,29043.4,28632.15,28830.38,202.5988,5841000.39
2022-01-02 02:00:00,28589.76,28535.42,28233.45,28500.44,1359.0747,38734226.94
2022-01-02 03:00:00,28402.69,28644.22,28479.93,28607.72,2130.7594,60956168.3
2022-01-02 04:00:00,28444.81,28678.78,28424.63,28436.41,2604.3371,74057997.55
2022-01-02 05:00:00,28219.4,28365.37,28289.8,28353.58,1867.9354,52962655.8
2022-01-02 06:00:00,28181.31,28299.52,28124.27,28183.49,602.4599,16979422.57
2022-01-02 07:00:00,28771.87,28846.14,28540.15,28710.39,2668.8031,76622377.83
2022-01-02 08:00:00,28856.28,28778.9,28518.2,28706.51,1766.9582,50723203.24
2022-01-02 09:00:00,28324.54,28481.36,28338.23,28404.48,413.2527,11738228.05
2022-01-02 10:00:00,28593.92,28922.16,28534.81,28639.09,1445.1557,41387944.16
2022-01-02 11:00:00,28283.46,28361.62,28271.46,28291.57,2126.9358,60174353.07
2022-01-02 12:00:00,28267.83,28393.86,28224.12,28350.72,1407.9457,39916274.32
2022-01-02 13:00:00,27882.16,27844.05,27780.03,27800.55,2625.2913,72984542.05
2022-01-02 14:00:00,27427.98,27518.6,27266.8,27433.75,1328.7135,36451593.98
2022-01-02 15:00:00,27497.87,27760.72,27278.6,27487.81,1792.0128,49258507.36
